"Title: Population Distribution by Age | KFF"
"Timeframe: 2019"
"Location","Children 0-18","Adults 19-25","Adults 26-34","Adults 35-54","Adults 55-64","65+","Total",Footnotes
"United States","75307800","27799100","39817700","81478600","42061700","52784400","319249300","1"
"Alabama","1128100","414500","549500","1195300","645000","834700","4767100"
"Alaska","181700","65300","97500","172900","92800","91500","701700"
"Arizona","1701600","656800","860500","1708100","877500","1293600","7098000"
"Arkansas","720800","253500","335600","723700","383200","505700","2922500"
"California","9171300","3539800","5288800","10152200","4751600","5739000","38642700"
"Colorado","1294400","498900","792000","1488600","706600","831300","5611800"
"Connecticut","748700","297800","390500","895300","510600","610400","3453300"
"Delaware","205400","75900","111000","227200","135700","185200","940300"
"District of Columbia","130800","60600","144700","180800","69200","85300","671300"
"Florida","4376700","1680200","2399400","5236000","2872900","4426900","20992000"
"Georgia","2602500","917200","1252700","2744000","1284300","1493300","10294000"
"Hawaii","305800","96200","155600","342900","177500","265000","1343000"
"Idaho","468000","148300","210100","423000","218100","283500","1750900"
"Illinois","2925600","1070400","1556300","3193400","1635400","1981300","12362300"
"Indiana","1601800","593300","771600","1628100","870700","1046300","6511800"
"Iowa","746500","272600","349600","743900","416000","531600","3060200"
"Kansas","722100","257400","324900","678500","368000","460300","2811200"
"Kentucky","1023000","383900","491400","1096100","592200","732800","4319300"
"Louisiana","1123900","393800","552100","1113600","593300","721800","4498600"
"Maine","247700","97100","142900","328000","208900","277700","1302300"
"Maryland","1369900","474900","720900","1559300","811700","938700","5875500"
"Massachusetts","1392200","581200","875600","1730600","935300","1135900","6650800"
"Michigan","2211900","884100","1151600","2398300","1391200","1728600","9765600"
"Minnesota","1340700","451900","690600","1387600","752800","891100","5514800"
"Mississippi","727100","254000","315500","719900","376200","474400","2867100"
"Missouri","1403400","504400","721400","1462200","824200","1024300","5939900"
"Montana","234600","88300","118100","245200","149100","204100","1039400"
"Nebraska","487200","164300","229300","448800","241300","302600","1873600"
"Nevada","712700","250700","396800","795100","381500","493000","3029700"
"New Hampshire","263700","102700","150800","339100","213700","244100","1314000"
"New Jersey","2000100","711700","1015000","2321300","1212800","1438400","8699400"
"New Mexico","490600","183500","238100","485800","269900","373600","2041400"
"New York","4108000","1632400","2537700","4850700","2579200","3200300","18908300"
"North Carolina","2384500","870500","1192200","2635400","1345800","1711300","10139700"
"North Dakota","179000","74500","100400","169900","93200","114000","731000"
"Ohio","2650800","964100","1355100","2819400","1588300","1973700","11351500"
"Oklahoma","980100","349100","471600","927700","487600","610700","3826900"
"Oregon","883800","347500","529800","1078300","532400","757100","4128900"
"Pennsylvania","2707100","976800","1520200","3071300","1790900","2311300","12377600"
"Rhode Island","210100","89100","129300","256900","150800","180800","1017100"
"South Carolina","1147200","409100","578700","1241500","689000","918700","4984200"
"South Dakota","219100","70100","98100","199900","115900","148200","851300"
"Tennessee","1560800","574000","820300","1687000","890200","1108800","6640900"
"Texas","7688200","2647900","3687100","7375600","3233100","3654400","28286200"
"Utah","971200","342700","414800","764200","3.00E+05","361200","3154100"
"Vermont","116400","51200","66400","147900","94400","121800","598100"
"Virginia","1917000","684600","9.81E+05","2165300","1104300","1332800","8185100"
"Washington","1707100","619900","1028200","1926900","954000","1187800","7423900"
"West Virginia","368000","140600","182300","437000","254000","357200","1739000"
"Wisconsin","1307500","483000","658400","1423000","813700","991400","5677100"
"Wyoming","141500","46800","65800","136100","75700","96800","562700"
"Puerto Rico","618700","313200","331600","799900","426800","674300","3164500"

"Notes"
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
